Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Prostate cancer,2.7366468451536936e-14,148.99625468164794,4653.072264341102,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.366075619539043e-12,0,0
2,MAPK signaling pathway,6.56017609395326e-14,69.35211267605634,2105.1954375439004,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.0345082977812546e-12,0,0
3,Central carbon metabolism in cancer,3.532392944006953e-13,170.23076923076923,4880.793745726091,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'RAF1', 'TP53', 'EGFR']",1.290699741592666e-11,0,0
4,PI3K-Akt signaling pathway,4.1973975336346863e-13,57.08139534883721,1626.7707636653156,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.290699741592666e-11,0,0
5,Bladder cancer,1.9206326372036096e-12,244.22448979591837,6588.777790477368,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.72475628752088e-11,0,0
6,Focal adhesion,1.027794842437389e-11,68.34887737478411,1729.2963438817121,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",2.1069794269966474e-10,0,0
7,Pathways in cancer,2.328122708035283e-11,37.34932821497121,914.437563298962,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.090844186976283e-10,0,0
8,Melanoma,6.551052542545605e-11,129.3116883116883,3032.205247846783,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.0072243284163867e-09,0,0
9,Glioma,8.427770578936646e-11,123.67080745341615,2868.779817015559,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.1247936410492717e-09,0,0
10,Pancreatic cancer,9.144663748368062e-11,121.89795918367346,2817.7036917396945,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.1247936410492717e-09,0,0
11,Gap junction,2.250589943154598e-10,103.99651567944251,2310.2470863264834,"['PDGFRB', 'PDGFRA', 'TUBB3', 'TUBB', 'RAF1', 'EGFR']",2.5165687546183232e-09,0,0
12,MicroRNAs in cancer,3.2619638568865076e-10,43.439293598233995,948.8671439119597,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.3435129533086702e-09,0,0
13,Proteoglycans in cancer,7.426240240408198e-10,53.7972027972028,1130.8619202940029,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",7.02636576592468e-09,0,0
14,Rap1 signaling pathway,8.787509342312632e-10,52.45888594164456,1093.8999477994626,"['PDGFRB', 'PDGFRA', 'KIT', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",7.720454636460384e-09,0,0
15,Endometrial cancer,2.5779439641259833e-09,125.32704402515724,2478.5019207490727,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",2.113914050583306e-08,0,0
16,Breast cancer,5.06564377006127e-09,60.30091185410334,1151.7947288484427,"['KIT', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.894213648234601e-08,0,0
17,Gastric cancer,5.494587756902592e-09,59.451548451548454,1130.7388609311902,"['ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.9754958476412875e-08,0,0
18,Non-small cell lung cancer,7.803221682008072e-09,99.06965174129353,1849.5044955780215,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.3322014827055156e-08,0,0
19,ErbB signaling pathway,1.8145607643255603e-08,82.91666666666667,1477.97609350885,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'EGFR']",1.1746893369054943e-07,0,0
20,Colorectal cancer,1.925365804069441e-08,81.88888888888889,1454.8023591858805,"['BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.1840999695027062e-07,0,0
21,Ras signaling pathway,7.726174224705244e-08,37.46017699115044,613.4503655988116,"['PDGFRB', 'PDGFRA', 'KIT', 'RAF1', 'EGFR', 'VEGFA']",4.5253306173273573e-07,0,0
22,Calcium signaling pathway,9.443986522028097e-08,36.16483516483517,584.9771505299569,"['PDGFRB', 'PDGFRA', 'ERBB4', 'ERBB2', 'EGFR', 'VEGFA']",5.280047010042981e-07,0,0
23,Phospholipase D signaling pathway,2.939140525266155e-07,46.24009324009324,695.45000588898,"['PDGFRB', 'PDGFRA', 'KIT', 'RAF1', 'EGFR']",1.5718012374249438e-06,0,0
24,JAK-STAT signaling pathway,4.6053160904462886e-07,42.08704883227176,614.0872618457362,"['PDGFRB', 'PDGFRA', 'BCL2', 'RAF1', 'EGFR']",2.360224496353723e-06,0,0
25,Regulation of actin cytoskeleton,1.9938686428720916e-06,30.934272300469484,406.0257421417002,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'EGFR']",9.80983372293069e-06,0,0
26,Human cytomegalovirus infection,2.3283300754511155e-06,29.939393939393938,388.32469521576166,"['PDGFRA', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.101479228001874e-05,0,0
27,Choline metabolism in cancer,2.4723104128667384e-06,52.888297872340424,682.8068307027887,"['PDGFRB', 'PDGFRA', 'RAF1', 'EGFR']",1.126274743639292e-05,0,0
28,"Parathyroid hormone synthesis, secretion and action",3.3825932613832113e-06,48.720588235294116,613.726814280676,"['BCL2', 'BRAF', 'RAF1', 'EGFR']",1.485924896964768e-05,0,0
29,HIF-1 signaling pathway,3.780845899994644e-06,47.32142857142857,590.8346677553203,"['ERBB2', 'BCL2', 'EGFR', 'VEGFA']",1.6036001575839353e-05,0,0
30,Neurotrophin signaling pathway,5.362141381796516e-06,43.18478260869565,524.0968764289424,"['BCL2', 'BRAF', 'RAF1', 'TP53']",2.1984779665365714e-05,0,0
31,Human papillomavirus infection,1.5224782218106752e-05,20.096114519427402,222.91787955127916,"['PDGFRB', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",6.040800686539131e-05,0,0
32,Hepatitis C,1.605310964889852e-05,32.39705882352941,357.65082910250896,"['BRAF', 'RAF1', 'TP53', 'EGFR']",6.170414021295368e-05,0,0
33,Hepatitis B,1.8161321851584464e-05,31.36392405063291,342.3753820351736,"['BCL2', 'BRAF', 'RAF1', 'TP53']",6.7692199628633e-05,0,0
34,Hepatocellular carcinoma,2.0952479720005312e-05,30.20731707317073,325.431086041838,"['BRAF', 'RAF1', 'TP53', 'EGFR']",7.579867663413687e-05,0,0
35,Amyotrophic lateral sclerosis,2.404818917838997e-05,18.218198700092852,193.75875700131067,"['ERBB4', 'TUBB3', 'TUBB', 'BCL2', 'TP53']",8.451220768405618e-05,0,0
36,Acute myeloid leukemia,3.932461310986922e-05,54.91544117647059,557.0435611524064,"['KIT', 'BRAF', 'RAF1']",0.00013435909479205316,0,0
37,Renal cell carcinoma,4.295479506296637e-05,53.24598930481283,535.4077120365109,"['BRAF', 'RAF1', 'VEGFA']",0.00014279567007418551,0,0
38,Chronic myeloid leukemia,5.737834681405649e-05,48.12328767123287,469.96449894267244,"['BRAF', 'RAF1', 'TP53']",0.00018572464889813023,0,0
39,Chemical carcinogenesis,8.288145120571554e-05,21.00531914893617,197.41007455731682,"['BCL2', 'RAF1', 'EGFR', 'VEGFA']",0.00026139534611033363,0,0
40,Pathways of neurodegeneration,8.538983732128508e-05,13.836879432624114,129.6278087982399,"['TUBB3', 'TUBB', 'BCL2', 'BRAF', 'RAF1']",0.00026257374976295164,0,0
41,Salmonella infection,9.712150255716129e-05,20.137755102040817,186.06375003708527,"['TUBB3', 'TUBB', 'BCL2', 'RAF1']",0.00029136450767148386,0,0
42,Sphingolipid signaling pathway,0.00021744727153529255,30.219066937119674,254.85413787677368,"['BCL2', 'RAF1', 'TP53']",0.000636809866639071,0,0
43,Relaxin signaling pathway,0.000275787437045545,27.80672268907563,227.90056637383262,"['RAF1', 'EGFR', 'VEGFA']",0.0007888803431767915,0,0
44,FoxO signaling pathway,0.00028855049794020246,27.36948529411765,223.07883396526142,"['BRAF', 'RAF1', 'EGFR']",0.0008066298010601115,0,0
45,Estrogen signaling pathway,0.0003291166829116823,26.136084284460054,209.58782672203765,"['BCL2', 'RAF1', 'EGFR']",0.0008995855999585983,0,0
46,Fluid shear stress and atherosclerosis,0.0003434136113101654,25.749134948096884,205.3899054134363,"['BCL2', 'TP53', 'VEGFA']",0.0009182581345902248,0,0
47,Apoptosis,0.00036560164660306976,25.189589504866696,199.34956030006714,"['BCL2', 'RAF1', 'TP53']",0.0009567872879186719,0,0
48,Alzheimer disease,0.0004370638013590532,13.434931506849315,103.92499069895248,"['TUBB3', 'TUBB', 'BRAF', 'RAF1']",0.0011199759909825738,0,0
49,Thyroid cancer,0.0006195695304718364,63.317460317460316,467.69351055771176,"['BRAF', 'TP53']",0.0015552459642456302,0,0
50,Kaposi sarcoma-associated herpesvirus infection,0.0008936113232019103,18.38080495356037,129.03765552888265,"['RAF1', 'TP53', 'VEGFA']",0.002198283855076699,0,0
51,VEGF signaling pathway,0.0015708812917978867,38.83625730994152,250.73147869740146,"['RAF1', 'VEGFA']",0.0037885960566890206,0,0
52,Long-term depression,0.0016240769248208164,38.16475095785441,245.12516052672734,"['BRAF', 'RAF1']",0.003841566572172316,0,0
53,Shigellosis,0.0017950683835049228,14.333333333333334,90.62554097587316,"['BCL2', 'TP53', 'EGFR']",0.004165913418322746,0,0
54,Parkinson disease,0.0018582659430686833,14.15638450502152,89.01692441369535,"['TUBB3', 'TUBB', 'TP53']",0.004232716870323111,0,0
55,Long-term potentiation,0.0020202359976765082,34.042735042735046,211.21954341363585,"['BRAF', 'RAF1']",0.004517982322076555,0,0
56,Adherens junction,0.002265165629135075,32.06280193236715,195.26590722566357,"['ERBB2', 'EGFR']",0.0049752745068502545,0,0
57,p53 signaling pathway,0.0023926495225994084,31.156494522691705,188.04047198052453,"['BCL2', 'TP53']",0.005163085811925039,0,0
58,Huntington disease,0.0033333840353597494,11.460104834012814,65.3657707961294,"['TUBB3', 'TUBB', 'TP53']",0.007069073040504296,0,0
59,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.003531335428959874,25.406130268199234,143.44502292528725,"['RAF1', 'EGFR']",0.007361936572238383,0,0
60,Small cell lung cancer,0.0037680465442261175,24.555555555555557,137.04943154835937,"['BCL2', 'TP53']",0.0077244954156635405,0,0
61,GnRH signaling pathway,0.003848558413636332,24.284493284493283,135.02315810678772,"['RAF1', 'EGFR']",0.007760207948807685,0,0
62,AGE-RAGE signaling pathway in diabetic complications,0.004434499847536051,22.541950113378686,122.13995997533476,"['BCL2', 'VEGFA']",0.008657833035665622,0,0
63,Progesterone-mediated oocyte maturation,0.004434499847536051,22.541950113378686,122.13995997533476,"['BRAF', 'RAF1']",0.008657833035665622,0,0
64,Melanogenesis,0.0045213816583109445,22.31313131313131,120.46720485255871,"['KIT', 'RAF1']",0.008689530374566346,0,0
65,Serotonergic synapse,0.005625111821885011,19.88888888888889,103.03467631601124,"['BRAF', 'RAF1']",0.010644442370643943,0,0
66,Thyroid hormone signaling pathway,0.006422814330741102,18.54435107376284,93.61000916507308,"['RAF1', 'TP53']",0.01196979034365387,0,0
67,Natural killer cell mediated cytotoxicity,0.00748823341082939,17.098191214470283,83.68576954910893,"['BRAF', 'RAF1']",0.013747055366149476,0,0
68,Vascular smooth muscle contraction,0.007710305981795836,16.835453774385073,81.90780602926974,"['BRAF', 'RAF1']",0.013946582878836586,0,0
69,Autophagy,0.008163347244468235,16.333333333333332,78.53231621226735,"['BCL2', 'RAF1']",0.014344167300994184,0,0
70,Insulin signaling pathway,0.008163347244468235,16.333333333333332,78.53231621226735,"['BRAF', 'RAF1']",0.014344167300994184,0,0
71,Measles,0.008394292914981142,16.093268450932683,76.9290936521396,"['BCL2', 'TP53']",0.01454222575412226,0,0
72,Phagosome,0.009966464288455889,14.688888888888888,67.69417619445412,"['TUBB3', 'TUBB']",0.01695242881658549,0,0
73,mTOR signaling pathway,0.010219143029655308,14.494152046783626,66.43383792509559,"['BRAF', 'RAF1']",0.01695242881658549,0,0
74,Oxytocin signaling pathway,0.010219143029655308,14.494152046783626,66.43383792509559,"['RAF1', 'EGFR']",0.01695242881658549,0,0
75,Cushing syndrome,0.010346551736963104,14.398692810457517,65.81789321952054,"['BRAF', 'EGFR']",0.01695242881658549,0,0
76,Cellular senescence,0.01047467146390648,14.304473304473305,65.21116391701504,"['RAF1', 'TP53']",0.01695242881658549,0,0
77,Tuberculosis,0.01375923714046898,12.36079900124844,52.9789393756764,"['BCL2', 'RAF1']",0.021979041146463436,0,0
78,Alcoholism,0.014642007150812004,11.954106280193237,50.49247947405065,"['BRAF', 'RAF1']",0.02308931896858816,0,0
79,Chemokine signaling pathway,0.015548841682792162,11.573099415204679,48.18771411798436,"['BRAF', 'RAF1']",0.024208956037765014,0,0
80,Pathogenic Escherichia coli infection,0.016322710900516662,11.273504273504274,46.39270036949823,"['TUBB3', 'TUBB']",0.02509616800954437,0,0
81,Epstein-Barr virus infection,0.017112924345878768,10.988888888888889,44.701935078328205,"['BCL2', 'TP53']",0.025986292525223317,0,0
82,Human immunodeficiency virus 1 infection,0.018741724429248638,10.46031746031746,41.6007137926925,"['BCL2', 'RAF1']",0.028112586643872957,0,0
83,Lipid and atherosclerosis,0.019242788347178488,10.311424100156495,40.736507139702006,"['BCL2', 'TP53']",0.028423355077062215,0,0
84,cAMP signaling pathway,0.01941107175994493,10.262720664589823,40.454738317058315,"['BRAF', 'RAF1']",0.028423355077062215,0,0
85,Endocytosis,0.02587819829062754,8.768888888888888,32.04462795378348,"['PDGFRA', 'EGFR']",0.037447275173496324,0,0
86,Prion disease,0.03000366708266979,8.080770807708078,28.334702990747093,"['TUBB3', 'TUBB']",0.04291222152521377,0,0
