,Temozolomide,Carmustine,Lomustine,Bevacizumab,Erlotinib,Gefitinib,Lapatinib,Afatinib,Dasatinib,Imatinib,Nilotinib,Sorafenib,Paclitaxel,Docetaxel,Cisplatin,Carboplatin,Etoposide,Doxorubicin,Vincristine,Methotrexate
Temozolomide,0.9999999,0.12109704,-0.25005805,0.4877569,0.6544191,0.406436,0.4992317,0.26079246,0.66897774,0.6679013,-0.6967324,-0.4718868,0.38694388,-0.19587965,0.17432286,0.087848395,0.29896587,0.0032184247,-0.21426184,0.9087021
Carmustine,0.12109704,1.0,-0.17512535,0.07219905,0.05587122,-0.15251529,0.4188268,-0.2521661,-0.044220053,0.08908218,-0.102434285,0.46794787,0.33277532,-0.10724553,0.4108684,0.5719135,0.52875686,0.54848844,-0.39043042,0.078018546
Lomustine,-0.25005805,-0.17512535,1.0,-0.39594948,-0.46140903,0.18536852,-0.7981138,0.38741326,0.13342261,-0.38594222,0.29735604,-0.24644476,-0.40722317,0.6325823,0.031046119,-0.33290422,-0.5858754,-0.13238694,0.7679891,-0.27947587
Bevacizumab,0.4877569,0.07219905,-0.39594948,1.0,0.7206342,0.44933367,0.61407995,0.29908478,0.56694186,0.8554795,-0.7017349,-0.25153086,0.44845217,-0.49617016,0.34857583,-0.22646725,0.38961938,-0.012550914,-0.26965693,0.51954377
Erlotinib,0.6544191,0.05587122,-0.46140903,0.7206342,0.9999997,0.66728866,0.57940024,0.37903947,0.6424184,0.72757447,-0.84508586,-0.51002216,0.30860806,-0.35758626,0.3239079,-0.05016347,0.5034566,0.18308586,-0.21728443,0.7115957
Gefitinib,0.406436,-0.15251529,0.18536852,0.44933367,0.66728866,1.0,0.01352483,0.8594471,0.7419189,0.5281342,-0.59368145,-0.5940087,-0.0017882586,0.012823775,0.43332133,-0.45609555,0.08978889,0.106948934,0.3670678,0.47402734
Lapatinib,0.4992317,0.4188268,-0.7981138,0.61407995,0.57940024,0.01352483,0.9999999,-0.12057639,0.18176697,0.6804415,-0.55779433,0.12859896,0.6094871,-0.5790818,0.1788316,0.21375602,0.61779547,0.13924617,-0.61914116,0.5257498
Afatinib,0.26079246,-0.2521661,0.38741326,0.29908478,0.37903947,0.8594471,-0.12057639,1.0,0.6606947,0.47208217,-0.41480362,-0.49204445,0.077939644,0.212302,0.38115057,-0.62019897,-0.19814807,-0.10613731,0.65346193,0.38203764
Dasatinib,0.66897774,-0.044220053,0.13342261,0.56694186,0.6424184,0.7419189,0.18176697,0.6606947,1.0,0.70980895,-0.73000455,-0.6932422,0.120301425,-0.09354955,0.43117705,-0.3430232,0.00021705066,-0.15164228,0.19075702,0.7597391
Imatinib,0.6679013,0.08908218,-0.38594222,0.8554795,0.72757447,0.5281342,0.6804415,0.47208217,0.70980895,1.0,-0.8098196,-0.34597278,0.54990226,-0.44970128,0.34597808,-0.2862133,0.3091412,-0.13234255,-0.14498381,0.76170975
Nilotinib,-0.6967324,-0.102434285,0.29735604,-0.7017349,-0.84508586,-0.59368145,-0.55779433,-0.41480362,-0.73000455,-0.8098196,0.9999999,0.59664583,-0.3677665,0.32079387,-0.3466452,0.12358558,-0.4540119,-0.11837527,0.045156844,-0.7556963
Sorafenib,-0.4718868,0.46794787,-0.24644476,-0.25153086,-0.51002216,-0.5940087,0.12859896,-0.49204445,-0.6932422,-0.34597278,0.59664583,1.0,0.15613031,-0.101973936,0.0048964582,0.40782303,0.27181792,0.34590703,-0.3240652,-0.54524267
Paclitaxel,0.38694388,0.33277532,-0.40722317,0.44845217,0.30860806,-0.0017882586,0.6094871,0.077939644,0.120301425,0.54990226,-0.3677665,0.15613031,1.0,0.115056016,0.15232772,0.16921642,0.3707415,0.15194054,-0.12942748,0.4471444
Docetaxel,-0.19587965,-0.10724553,0.6325823,-0.49617016,-0.35758626,0.012823775,-0.5790818,0.212302,-0.09354955,-0.44970128,0.32079387,-0.101973936,0.115056016,1.0000001,-0.027689645,0.057734415,-0.40996173,0.073522456,0.64290047,-0.15578297
Cisplatin,0.17432286,0.4108684,0.031046119,0.34857583,0.3239079,0.43332133,0.1788316,0.38115057,0.43117705,0.34597808,-0.3466452,0.0048964582,0.15232772,-0.027689645,0.9999998,0.08694306,0.336091,0.41969028,0.09005224,0.20038368
Carboplatin,0.087848395,0.5719135,-0.33290422,-0.22646725,-0.05016347,-0.45609555,0.21375602,-0.62019897,-0.3430232,-0.2862133,0.12358558,0.40782303,0.16921642,0.057734415,0.08694306,1.0,0.43441826,0.50796807,-0.48546848,0.026150972
Etoposide,0.29896587,0.52875686,-0.5858754,0.38961938,0.5034566,0.08978889,0.61779547,-0.19814807,0.00021705066,0.3091412,-0.4540119,0.27181792,0.3707415,-0.40996173,0.336091,0.43441826,0.99999976,0.76927644,-0.42676237,0.17818616
Doxorubicin,0.0032184247,0.54848844,-0.13238694,-0.012550914,0.18308586,0.106948934,0.13924617,-0.10613731,-0.15164228,-0.13234255,-0.11837527,0.34590703,0.15194054,0.073522456,0.41969028,0.50796807,0.76927644,1.0000002,-0.07097067,-0.1383292
Vincristine,-0.21426184,-0.39043042,0.7679891,-0.26965693,-0.21728443,0.3670678,-0.61914116,0.65346193,0.19075702,-0.14498381,0.045156844,-0.3240652,-0.12942748,0.64290047,0.09005224,-0.48546848,-0.42676237,-0.07097067,1.0000001,-0.14164005
Methotrexate,0.9087021,0.078018546,-0.27947587,0.51954377,0.7115957,0.47402734,0.5257498,0.38203764,0.7597391,0.76170975,-0.7556963,-0.54524267,0.4471444,-0.15578297,0.20038368,0.026150972,0.17818616,-0.1383292,-0.14164005,0.9999999
